Index,Process,CPU,Time,TypeOfTrace,Function,Duration
1387,ether_ros-3990,[003],10786138804,funcgraph,e1000_xmit_frame(),1.597
1388,irq/33-enp5s0-r-2502,[003],10786138862,funcgraph,e1000_intr_msix_rx(),0.461
1389,irq/33-enp5s0-r-2502,[003],10786138864,funcgraph,net_rx_action(),6.407
1390,irq/33-enp5s0-r-2502,[003],10786138866,funcgraph,napi_gro_receive(),1.784
1391,irq/33-enp5s0-r-2502,[003],10786138872,funcgraph,net_rx_action(),3.719
1392,irq/33-enp5s0-r-2502,[003],10786138873,funcgraph,__netif_receive_skb_core(),2.255
1393,irq/33-enp5s0-r-2502,[003],10786138874,funcgraph,packet_rcv(),0.897
1394,ether_ros-3990,[003],10786142763,funcgraph,ecrt_master_receive(),7.002
1395,ether_ros-3990,[003],10786142765,funcgraph,kernel_recvmsg(),3.214
1396,ether_ros-3990,[003],10786142770,funcgraph,kernel_recvmsg(),0.498
1397,ether_ros-3990,[003],10786142785,funcgraph,ecrt_master_send(),10.571
1398,ether_ros-3990,[003],10786142787,funcgraph,kernel_sendmsg(),8.621
1399,ether_ros-3990,[003],10786142792,funcgraph,e1000_xmit_frame(),1.571
1400,irq/33-enp5s0-r-2502,[003],10786142887,funcgraph,e1000_intr_msix_rx(),0.493
1401,irq/33-enp5s0-r-2502,[003],10786142889,funcgraph,net_rx_action(),6.404
1402,irq/33-enp5s0-r-2502,[003],10786142891,funcgraph,napi_gro_receive(),1.740
1403,irq/33-enp5s0-r-2502,[003],10786142897,funcgraph,net_rx_action(),10.197
1404,irq/33-enp5s0-r-2502,[003],10786142898,funcgraph,__netif_receive_skb_core(),8.745
1405,irq/33-enp5s0-r-2502,[003],10786142899,funcgraph,packet_rcv(),1.013
1406,ether_ros-3990,[003],10786146763,funcgraph,ecrt_master_receive(),6.753
1407,ether_ros-3990,[003],10786146765,funcgraph,kernel_recvmsg(),3.315
1408,ether_ros-3990,[003],10786146770,funcgraph,kernel_recvmsg(),0.453
1409,ether_ros-3990,[003],10786146785,funcgraph,ecrt_master_send(),10.593
1410,ether_ros-3990,[003],10786146787,funcgraph,kernel_sendmsg(),8.545
1411,ether_ros-3990,[003],10786146793,funcgraph,e1000_xmit_frame(),1.589
1412,irq/33-enp5s0-r-2502,[003],10786146887,funcgraph,e1000_intr_msix_rx(),0.499
