version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
cpus=4
       ether_ros-3990  [003]  8698.005656: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8698.005658: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8698.005659: funcgraph_entry:        1.140 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8698.005663: funcgraph_exit:         4.275 us   |    }
       ether_ros-3990  [003]  8698.005664: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8698.005664: funcgraph_entry:        0.300 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8698.005665: funcgraph_exit:         1.050 us   |    }
       ether_ros-3990  [003]  8698.005666: funcgraph_exit:         8.326 us   |  }
       ether_ros-3990  [003]  8698.005680: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8698.005682: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8698.005688: funcgraph_entry:        1.546 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8698.005691: funcgraph_exit:         9.375 us   |    }
       ether_ros-3990  [003]  8698.005692: funcgraph_exit:       + 11.348 us  |  }
 irq/33-enp5s0-r-2502  [003]  8698.005787: funcgraph_entry:        0.488 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8698.005790: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8698.005792: funcgraph_entry:        1.872 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8698.005797: funcgraph_exit:         6.790 us   |  }
 irq/33-enp5s0-r-2502  [003]  8698.005798: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8698.005799: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8698.005800: funcgraph_entry:        0.934 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8698.005802: funcgraph_exit:         2.385 us   |    }
 irq/33-enp5s0-r-2502  [003]  8698.005803: funcgraph_exit:         3.891 us   |  }
 irq/33-enp5s0-r-2502  [003]  8698.009367: funcgraph_entry:        0.640 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8698.009371: funcgraph_entry:        1.268 us   |  net_rx_action();
       ether_ros-3990  [003]  8698.009664: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8698.009666: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8698.009674: funcgraph_entry:        1.188 us   |      __skb_recv_datagram();
